Branch_ID,Dealer_ID,Model_ID,Revenue,Units_Sold,Date_ID,Day,Month,Year,BranchName,DealerName,Product_Name
BR0034,DLR0052,Hyu-M347,66000,3,DT01359,20,9,2020,Subaru Motors,Wiesmann Motors,Hyundai
BR0024,DLR0079,Aud-M166,70352,1,DT00249,6,9,2017,PGO Motors,Eicher Polaris Motors,Audi
BR0051,DLR0005,Vol-M30,81758,2,DT01020,17,10,2019,Subaru Motors,Deccan Motors,Volkswagen
BR0056,DLR0017,Nis-M388,43934,2,DT00797,8,3,2019,Saab Motors,Ferrari Motors,Nissan
BR0020,DLR0069,Tat-M273,104392,4,DT01354,15,9,2020,Deccan Motors,Elva Motors,Tata
BR0002,DLR0077,Hon-M262,120710,5,DT00546,30,6,2018,Saab Motors,Ferrari Motors,Honda
BR0048,DLR0075,Mar-M235,62679,3,DT00126,6,5,2017,Saab Motors,Deccan Motors,Maruti
BR0054,DLR0016,Che-M249,155247,3,DT00111,21,4,2017,Deccan Motors,Fiat do Brasil Motors,Chevrolet
BR0056,DLR0025,Tes-M360,241964,4,DT00900,19,6,2019,Saab Motors,Facel Vega Motors,Tesla
BR0027,DLR0032,Mah-M352,69006,3,DT01219,3,5,2020,Elva Motors,AC Cars Motors,Mahindra
BR0019,DLR0021,Hon-M122,96549,3,DT00061,2,3,2017,PGO Motors,Elva Motors,Honda
BR0042,DLR0061,Aud-M466,321392,4,DT01029,26,10,2019,Deccan Motors,Fiat do Brasil Motors,Audi
BR0005,DLR0012,Mer-M405,88352,1,DT00534,18,6,2018,Piaggio Motors,Saab Motors,Mercedes-Benz
BR0049,DLR0078,Aud-M46,90784,2,DT00346,12,12,2017,Piaggio Motors,Saab Motors,Audi
BR0047,DLR0056,Hon-M282,21150,1,DT01097,2,1,2020,Deccan Motors,Saab Motors,Honda
BR0017,DLR0026,Hyu-M107,117115,5,DT00350,16,12,2017,Deccan Motors,Facel Vega Motors,Hyundai
BR0035,DLR0052,Jee-M257,43979,1,DT00804,15,3,2019,Piaggio Motors,Wiesmann Motors,Jeep
BR0028,DLR0078,For-M303,83062,2,DT00719,20,12,2018,Subaru Motors,Saab Motors,Ford
BR0026,DLR0014,Aud-M386,383780,5,DT01240,24,5,2020,AC Cars Motors,Saab Motors,Audi
BR0007,DLR0003,Mah-M312,84888,3,DT00699,30,11,2018,Subaru Motors,Deccan Motors,Mahindra
BR0047,DLR0018,Lex-M238,160209,3,DT00919,8,7,2019,Deccan Motors,Ferrari Motors,Lexus
BR0015,DLR0064,Hyu-M227,112002,3,DT00806,17,3,2019,PGO Motors,Elva Motors,Hyundai
BR0039,DLR0057,Nis-M28,53988,2,DT00485,30,4,2018,Deccan Motors,Fiat do Brasil Motors,Nissan
BR0044,DLR0025,Kia-M231,60078,2,DT01297,20,7,2020,Pontiac Motors,Facel Vega Motors,Kia
BR0025,DLR0068,Tat-M13,101040,4,DT00145,25,5,2017,Pontiac Motors,Saab Motors,Tata
BR0045,DLR0018,Hyu-M67,33087,1,DT01418,18,11,2020,Elva Motors,Ferrari Motors,Hyundai
BR0047,DLR0008,Nis-M228,62646,2,DT00111,21,4,2017,Deccan Motors,Facel Vega Motors,Nissan
BR0042,DLR0041,Cad-M236,211641,3,DT01393,24,10,2020,Deccan Motors,Deccan Motors,Cadillac
BR0026,DLR0064,Aud-M6,192920,4,DT00613,5,9,2018,AC Cars Motors,Elva Motors,Audi
BR0057,DLR0033,Mer-M365,345610,5,DT00315,11,11,2017,Deccan Motors,Saab Motors,Mercedes-Benz
BR0006,DLR0070,Vol-M150,160730,5,DT01461,31,12,2020,Elva Motors,Elva Motors,Volkswagen
BR0030,DLR0024,BMW-M4,174141,3,DT00624,16,9,2018,Saab Motors,AC Cars Motors,BMW
BR0051,DLR0031,Jee-M137,92607,3,DT00823,3,4,2019,Subaru Motors,Wiesmann Motors,Jeep
BR0024,DLR0006,Che-M229,107120,4,DT01064,30,11,2019,PGO Motors,Fiat do Brasil Motors,Chevrolet
BR0011,DLR0004,Nis-M468,110764,4,DT01346,7,9,2020,Saab Motors,Fiat do Brasil Motors,Nissan
BR0030,DLR0051,Lex-M118,41154,1,DT00646,8,10,2018,Saab Motors,AC Cars Motors,Lexus
BR0015,DLR0075,Toy-M441,87428,2,DT00574,28,7,2018,PGO Motors,Deccan Motors,Toyota
BR0045,DLR0044,Aud-M26,115989,3,DT01416,16,11,2020,Elva Motors,Elva Motors,Audi
BR0019,DLR0020,Vol-M410,162996,4,DT00326,22,11,2017,PGO Motors,Ferrari Motors,Volkswagen
BR0026,DLR0014,Tes-M140,63328,1,DT00113,23,4,2017,AC Cars Motors,Saab Motors,Tesla
BR0011,DLR0077,Lex-M38,319690,5,DT00320,16,11,2017,Saab Motors,Ferrari Motors,Lexus
BR0056,DLR0010,Toy-M161,51790,2,DT00259,16,9,2017,Saab Motors,Ferrari Motors,Toyota
BR0044,DLR0002,Hyu-M407,64794,2,DT00261,18,9,2017,Pontiac Motors,Eicher Polaris Motors,Hyundai
BR0020,DLR0065,Nis-M168,56302,2,DT00013,13,1,2017,Deccan Motors,AC Cars Motors,Nissan
BR0017,DLR0009,Toy-M101,42671,1,DT01343,4,9,2020,Deccan Motors,Elva Motors,Toyota
BR0030,DLR0049,Nis-M408,83361,3,DT00911,30,6,2019,Saab Motors,Eicher Polaris Motors,Nissan
BR0050,DLR0078,BMW-M444,308392,4,DT00318,14,11,2017,Plymouth Motors,Saab Motors,BMW
BR0034,DLR0076,Sub-M459,43065,1,DT00376,11,1,2018,Subaru Motors,Fiat do Brasil Motors,Subaru
BR0029,DLR0072,Cad-M296,234000,4,DT00513,28,5,2018,Piaggio Motors,Elva Motors,Cadillac
BR0030,DLR0035,Che-M229,107120,4,DT00873,23,5,2019,Saab Motors,Elva Motors,Chevrolet
BR0019,DLR0078,Mer-M165,452020,5,DT00725,26,12,2018,PGO Motors,Saab Motors,Mercedes-Benz
BR0025,DLR0042,Hon-M62,111108,4,DT01434,4,12,2020,Pontiac Motors,AC Cars Motors,Honda
BR0038,DLR0023,Hon-M402,76932,3,DT00089,30,3,2017,Piaggio Motors,Facel Vega Motors,Honda
BR0025,DLR0017,For-M143,25987,1,DT00575,29,7,2018,Pontiac Motors,Ferrari Motors,Ford
BR0014,DLR0053,Mar-M495,33238,2,DT01249,2,6,2020,Subaru Motors,Saab Motors,Maruti
BR0006,DLR0006,Mar-M435,53580,3,DT00104,14,4,2017,Elva Motors,Fiat do Brasil Motors,Maruti
BR0008,DLR0042,Kia-M391,107865,3,DT00579,2,8,2018,Piaggio Motors,AC Cars Motors,Kia
BR0033,DLR0027,Kia-M111,125790,5,DT01039,5,11,2019,Peugeot Motors,Wiesmann Motors,Kia
BR0033,DLR0027,Jee-M157,42565,1,DT00420,24,2,2018,Peugeot Motors,Wiesmann Motors,Jeep
BR0022,DLR0066,Che-M289,119220,4,DT00951,9,8,2019,AC Cars Motors,Subaru Motors,Chevrolet
BR0033,DLR0038,For-M123,102598,2,DT00517,1,6,2018,Peugeot Motors,Elva Motors,Ford
BR0045,DLR0052,For-M303,166124,4,DT01183,28,3,2020,Elva Motors,Wiesmann Motors,Ford
BR0029,DLR0047,Jee-M157,212825,5,DT00015,15,1,2017,Piaggio Motors,Wiesmann Motors,Jeep
BR0002,DLR0027,Mah-M332,98055,5,DT00324,20,11,2017,Saab Motors,Wiesmann Motors,Mahindra
BR0036,DLR0036,Mar-M115,59622,3,DT00095,5,4,2017,Peugeot Motors,Fiat do Brasil Motors,Maruti
BR0005,DLR0020,Sub-M299,100986,3,DT00794,5,3,2019,Piaggio Motors,Ferrari Motors,Subaru
BR0040,DLR0038,Ren-M254,61198,2,DT00011,11,1,2017,Saab Motors,Elva Motors,Renault
BR0046,DLR0012,Tes-M200,145490,2,DT01158,3,3,2020,Peugeot Motors,Saab Motors,Tesla
BR0025,DLR0060,Toy-M141,81754,2,DT00218,6,8,2017,Pontiac Motors,Ferrari Motors,Toyota
BR0036,DLR0068,Tes-M460,394244,4,DT00683,14,11,2018,Peugeot Motors,Saab Motors,Tesla
BR0008,DLR0031,Cad-M376,311045,5,DT01157,2,3,2020,Piaggio Motors,Wiesmann Motors,Cadillac
BR0029,DLR0078,Tat-M393,51312,3,DT01402,2,11,2020,Piaggio Motors,Saab Motors,Tata
BR0023,DLR0001,Jee-M297,145362,3,DT01320,12,8,2020,Elva Motors,Subaru Motors,Jeep
BR0026,DLR0036,Toy-M101,213355,5,DT00814,25,3,2019,AC Cars Motors,Fiat do Brasil Motors,Toyota
BR0001,DLR0063,Kia-M471,22312,1,DT01206,20,4,2020,Piaggio Motors,Wiesmann Motors,Kia
BR0047,DLR0073,Kia-M371,92085,5,DT00567,21,7,2018,Deccan Motors,Wiesmann Motors,Kia
BR0052,DLR0057,Jee-M137,61738,2,DT01333,25,8,2020,AC Cars Motors,Fiat do Brasil Motors,Jeep
BR0035,DLR0063,Ren-M154,17045,1,DT00117,27,4,2017,Piaggio Motors,Wiesmann Motors,Renault
BR0011,DLR0038,Mer-M25,111090,2,DT00244,1,9,2017,Saab Motors,Elva Motors,Mercedes-Benz
BR0027,DLR0034,Kia-M391,71910,2,DT00386,21,1,2018,Elva Motors,Fiat do Brasil Motors,Kia
BR0059,DLR0051,Jee-M17,159855,3,DT00347,13,12,2017,PGO Motors,AC Cars Motors,Jeep
BR0007,DLR0052,Mah-M152,27757,1,DT01206,20,4,2020,Subaru Motors,Wiesmann Motors,Mahindra
BR0049,DLR0029,BMW-M344,46833,1,DT00710,11,12,2018,Piaggio Motors,Facel Vega Motors,BMW
BR0028,DLR0049,Kia-M491,54870,2,DT00063,4,3,2017,Subaru Motors,Eicher Polaris Motors,Kia
BR0041,DLR0049,Jee-M337,235908,4,DT00967,25,8,2019,Pontiac Motors,Eicher Polaris Motors,Jeep
BR0040,DLR0049,Lex-M118,164616,4,DT00148,28,5,2017,Saab Motors,Eicher Polaris Motors,Lexus
BR0030,DLR0051,Jee-M257,219895,5,DT00327,23,11,2017,Saab Motors,AC Cars Motors,Jeep
BR0049,DLR0045,Kia-M211,151245,5,DT00952,10,8,2019,Piaggio Motors,Facel Vega Motors,Kia
BR0018,DLR0001,BMW-M144,187197,3,DT00286,13,10,2017,Plymouth Motors,Subaru Motors,BMW
BR0002,DLR0038,Kia-M371,36834,2,DT00590,13,8,2018,Saab Motors,Elva Motors,Kia
BR0001,DLR0008,Sub-M319,113808,4,DT00947,5,8,2019,Piaggio Motors,Facel Vega Motors,Subaru
BR0032,DLR0010,Mar-M55,42654,3,DT00925,14,7,2019,Subaru Motors,Ferrari Motors,Maruti
BR0023,DLR0055,Tes-M380,40412,1,DT00162,11,6,2017,Elva Motors,AC Cars Motors,Tesla
BR0008,DLR0065,Kia-M391,179775,5,DT01202,16,4,2020,Piaggio Motors,AC Cars Motors,Kia
BR0024,DLR0059,Hyu-M247,83721,3,DT00313,9,11,2017,PGO Motors,Elva Motors,Hyundai
BR0047,DLR0067,Ren-M54,27447,1,DT00328,24,11,2017,Deccan Motors,Subaru Motors,Renault
BR0047,DLR0008,Jee-M97,223780,4,DT01075,11,12,2019,Deccan Motors,Facel Vega Motors,Jeep
BR0016,DLR0068,Kia-M291,104829,3,DT01442,12,12,2020,Peugeot Motors,Saab Motors,Kia
BR0014,DLR0055,Hon-M182,153785,5,DT00165,14,6,2017,Subaru Motors,AC Cars Motors,Honda
BR0007,DLR0033,Aud-M466,160696,2,DT00944,2,8,2019,Subaru Motors,Saab Motors,Audi
BR0048,DLR0019,Mer-M85,184080,3,DT00151,31,5,2017,Saab Motors,AC Cars Motors,Mercedes-Benz
BR0002,DLR0001,Nis-M188,62936,2,DT01309,1,8,2020,Saab Motors,Subaru Motors,Nissan
BR0011,DLR0002,Jee-M197,210812,4,DT00815,26,3,2019,Saab Motors,Eicher Polaris Motors,Jeep
BR0020,DLR0005,Kia-M471,89248,4,DT00707,8,12,2018,Deccan Motors,Deccan Motors,Kia
BR0034,DLR0053,Hon-M422,39166,1,DT00805,16,3,2019,Subaru Motors,Saab Motors,Honda
BR0058,DLR0024,Mar-M355,55652,4,DT00940,29,7,2019,PGO Motors,AC Cars Motors,Maruti
BR0046,DLR0014,Hon-M202,61707,3,DT00593,16,8,2018,Peugeot Motors,Saab Motors,Honda
BR0045,DLR0025,Tes-M40,120160,2,DT00521,5,6,2018,Elva Motors,Facel Vega Motors,Tesla
BR0046,DLR0004,Toy-M201,126714,3,DT01383,14,10,2020,Peugeot Motors,Fiat do Brasil Motors,Toyota
BR0045,DLR0037,Hon-M442,126670,5,DT00666,28,10,2018,Elva Motors,Ferrari Motors,Honda
BR0021,DLR0042,Aud-M326,156316,2,DT00075,16,3,2017,Peugeot Motors,AC Cars Motors,Audi
BR0017,DLR0037,Toy-M41,74164,2,DT01380,11,10,2020,Deccan Motors,Ferrari Motors,Toyota
BR0012,DLR0027,Aud-M486,106970,2,DT01177,22,3,2020,Plymouth Motors,Wiesmann Motors,Audi
BR0040,DLR0012,Ren-M134,56883,3,DT01311,3,8,2020,Saab Motors,Saab Motors,Renault
BR0045,DLR0017,Mar-M455,23084,2,DT00821,1,4,2019,Elva Motors,Ferrari Motors,Maruti
BR0058,DLR0046,Che-M469,193024,4,DT00922,11,7,2019,PGO Motors,Saab Motors,Chevrolet
BR0001,DLR0051,Vol-M310,97305,3,DT00130,10,5,2017,Piaggio Motors,AC Cars Motors,Volkswagen
BR0026,DLR0029,Mah-M292,56016,3,DT00693,24,11,2018,AC Cars Motors,Facel Vega Motors,Mahindra
BR0036,DLR0059,Hyu-M267,74397,3,DT00149,29,5,2017,Peugeot Motors,Elva Motors,Hyundai
BR0054,DLR0055,Mah-M232,64965,3,DT00807,18,3,2019,Deccan Motors,AC Cars Motors,Mahindra
BR0056,DLR0033,Mah-M152,138785,5,DT00623,15,9,2018,Saab Motors,Saab Motors,Mahindra
BR0035,DLR0062,Nis-M148,90888,3,DT00751,21,1,2019,Piaggio Motors,Fiat do Brasil Motors,Nissan
BR0009,DLR0026,Kia-M491,54870,2,DT00365,31,12,2017,Plymouth Motors,Facel Vega Motors,Kia
BR0001,DLR0061,Toy-M201,42238,1,DT00073,14,3,2017,Piaggio Motors,Fiat do Brasil Motors,Toyota
BR0025,DLR0039,BMW-M104,103670,2,DT00939,28,7,2019,Pontiac Motors,Ferrari Motors,BMW
BR0044,DLR0044,Lex-M498,396490,5,DT00131,11,5,2017,Pontiac Motors,Elva Motors,Lexus
BR0012,DLR0019,Lex-M478,149156,2,DT01459,29,12,2020,Plymouth Motors,AC Cars Motors,Lexus
BR0049,DLR0061,For-M443,92772,3,DT01068,4,12,2019,Piaggio Motors,Fiat do Brasil Motors,Ford
BR0055,DLR0047,Vol-M330,32207,1,DT01041,7,11,2019,Plymouth Motors,Wiesmann Motors,Volkswagen
BR0008,DLR0021,Lex-M318,225741,3,DT00012,12,1,2017,Piaggio Motors,Elva Motors,Lexus
BR0054,DLR0080,Mar-M215,87800,5,DT01105,10,1,2020,Deccan Motors,Subaru Motors,Maruti
BR0018,DLR0012,Tes-M200,72745,1,DT00710,11,12,2018,Plymouth Motors,Saab Motors,Tesla
BR0047,DLR0032,Mer-M365,138244,2,DT00489,4,5,2018,Deccan Motors,AC Cars Motors,Mercedes-Benz
BR0023,DLR0026,Cad-M16,85294,1,DT00778,17,2,2019,Elva Motors,Facel Vega Motors,Cadillac
BR0007,DLR0014,Aud-M86,112686,2,DT00981,8,9,2019,Subaru Motors,Saab Motors,Audi
BR0051,DLR0048,Jee-M117,46639,1,DT00335,1,12,2017,Subaru Motors,Facel Vega Motors,Jeep
BR0018,DLR0039,Mar-M215,87800,5,DT00827,7,4,2019,Plymouth Motors,Ferrari Motors,Maruti
BR0042,DLR0017,Hon-M402,76932,3,DT00995,22,9,2019,Deccan Motors,Ferrari Motors,Honda
BR0044,DLR0060,Mah-M152,83271,3,DT01183,28,3,2020,Pontiac Motors,Ferrari Motors,Mahindra
BR0043,DLR0040,Kia-M131,172410,5,DT01122,27,1,2020,Elva Motors,Facel Vega Motors,Kia
BR0039,DLR0015,For-M183,218540,4,DT00986,13,9,2019,Deccan Motors,Facel Vega Motors,Ford
BR0022,DLR0025,BMW-M4,290235,5,DT00497,12,5,2018,AC Cars Motors,Facel Vega Motors,BMW
BR0016,DLR0042,Vol-M210,24409,1,DT01421,21,11,2020,Peugeot Motors,AC Cars Motors,Volkswagen
BR0055,DLR0042,Hon-M382,55174,2,DT01132,6,2,2020,Plymouth Motors,AC Cars Motors,Honda
BR0055,DLR0013,Ren-M414,89769,3,DT00546,30,6,2018,Plymouth Motors,Deccan Motors,Renault
BR0059,DLR0039,Ren-M274,83601,3,DT01165,10,3,2020,PGO Motors,Ferrari Motors,Renault
BR0049,DLR0062,Tes-M500,273415,5,DT00814,25,3,2019,Piaggio Motors,Fiat do Brasil Motors,Tesla
BR0016,DLR0056,Cad-M236,70547,1,DT00245,2,9,2017,Peugeot Motors,Saab Motors,Cadillac
BR0030,DLR0025,Jee-M377,104104,2,DT01263,16,6,2020,Saab Motors,Facel Vega Motors,Jeep
BR0001,DLR0049,Tes-M340,327355,5,DT01383,14,10,2020,Piaggio Motors,Eicher Polaris Motors,Tesla
BR0004,DLR0018,Che-M429,87944,2,DT00003,3,1,2017,Peugeot Motors,Ferrari Motors,Chevrolet
BR0053,DLR0079,Tat-M153,15446,1,DT00293,20,10,2017,Saab Motors,Eicher Polaris Motors,Tata
BR0057,DLR0068,Sub-M399,36043,1,DT00585,8,8,2018,Deccan Motors,Saab Motors,Subaru
BR0037,DLR0061,Hyu-M187,36602,2,DT01164,9,3,2020,Pontiac Motors,Fiat do Brasil Motors,Hyundai
BR0013,DLR0025,Tes-M380,121236,3,DT00939,28,7,2019,Plymouth Motors,Facel Vega Motors,Tesla
BR0008,DLR0020,Tes-M260,295005,3,DT00564,18,7,2018,Piaggio Motors,Ferrari Motors,Tesla
BR0045,DLR0074,Tat-M373,62424,3,DT01334,26,8,2020,Elva Motors,Eicher Polaris Motors,Tata
BR0026,DLR0041,Aud-M226,61355,1,DT01131,5,2,2020,AC Cars Motors,Deccan Motors,Audi
BR0005,DLR0054,Sub-M259,124380,5,DT00753,23,1,2019,Piaggio Motors,Wiesmann Motors,Subaru
BR0009,DLR0020,Mar-M215,17560,1,DT01071,7,12,2019,Plymouth Motors,Ferrari Motors,Maruti
BR0017,DLR0003,Lex-M178,117178,2,DT00419,23,2,2018,Deccan Motors,Deccan Motors,Lexus
BR0056,DLR0073,Hyu-M227,186670,5,DT00160,9,6,2017,Saab Motors,Wiesmann Motors,Hyundai
BR0034,DLR0011,Lex-M398,362395,5,DT00580,3,8,2018,Subaru Motors,Facel Vega Motors,Lexus
BR0028,DLR0029,For-M323,163740,3,DT00952,10,8,2019,Subaru Motors,Facel Vega Motors,Ford
BR0012,DLR0042,Che-M409,45456,2,DT01219,3,5,2020,Plymouth Motors,AC Cars Motors,Chevrolet
BR0005,DLR0011,For-M463,48962,1,DT00521,5,6,2018,Piaggio Motors,Facel Vega Motors,Ford
BR0015,DLR0038,Aud-M226,245420,4,DT00955,13,8,2019,PGO Motors,Elva Motors,Audi
BR0048,DLR0018,Kia-M251,102455,5,DT00328,24,11,2017,Saab Motors,Ferrari Motors,Kia
BR0048,DLR0077,Jee-M37,191860,4,DT00454,30,3,2018,Saab Motors,Ferrari Motors,Jeep
BR0017,DLR0040,Tat-M453,117580,5,DT00796,7,3,2019,Deccan Motors,Facel Vega Motors,Tata
BR0051,DLR0058,BMW-M224,253235,5,DT01325,17,8,2020,Subaru Motors,Elva Motors,BMW
BR0040,DLR0077,Cad-M56,115376,2,DT01347,8,9,2020,Saab Motors,Ferrari Motors,Cadillac
BR0016,DLR0040,Hon-M262,72426,3,DT01313,5,8,2020,Peugeot Motors,Facel Vega Motors,Honda
BR0059,DLR0048,Tat-M353,83808,3,DT00092,2,4,2017,PGO Motors,Facel Vega Motors,Tata
BR0025,DLR0053,For-M363,170805,5,DT00781,20,2,2019,Pontiac Motors,Saab Motors,Ford
BR0038,DLR0060,Cad-M356,187350,3,DT01194,8,4,2020,Piaggio Motors,Ferrari Motors,Cadillac
BR0045,DLR0058,Tat-M133,78516,3,DT00007,7,1,2017,Elva Motors,Elva Motors,Tata
BR0010,DLR0032,Sub-M499,68376,2,DT00761,31,1,2019,Peugeot Motors,AC Cars Motors,Subaru
BR0036,DLR0002,Jee-M437,99378,2,DT00363,29,12,2017,Peugeot Motors,Eicher Polaris Motors,Jeep
BR0039,DLR0066,Jee-M477,191480,4,DT00589,12,8,2018,Deccan Motors,Subaru Motors,Jeep
BR0049,DLR0017,Tat-M13,75780,3,DT01248,1,6,2020,Piaggio Motors,Ferrari Motors,Tata
BR0060,DLR0064,For-M223,103184,2,DT00360,26,12,2017,Elva Motors,Elva Motors,Ford
BR0048,DLR0070,Mer-M365,207366,3,DT00856,6,5,2019,Saab Motors,Elva Motors,Mercedes-Benz
BR0041,DLR0063,Ren-M414,59846,2,DT00467,12,4,2018,Pontiac Motors,Wiesmann Motors,Renault
BR0029,DLR0022,Tes-M60,403860,5,DT01436,6,12,2020,Piaggio Motors,Ferrari Motors,Tesla
BR0050,DLR0068,BMW-M404,245408,4,DT01220,4,5,2020,Plymouth Motors,Saab Motors,BMW
BR0012,DLR0022,Mah-M192,25492,1,DT00731,1,1,2019,Plymouth Motors,Ferrari Motors,Mahindra
BR0022,DLR0050,Ren-M394,18143,1,DT00401,5,2,2018,AC Cars Motors,Wiesmann Motors,Renault
BR0012,DLR0036,Mah-M192,127460,5,DT01294,17,7,2020,Plymouth Motors,Fiat do Brasil Motors,Mahindra
BR0012,DLR0007,Hyu-M227,149336,4,DT00763,2,2,2019,Plymouth Motors,Subaru Motors,Hyundai
BR0006,DLR0079,Mar-M395,19879,1,DT00029,29,1,2017,Elva Motors,Eicher Polaris Motors,Maruti
BR0023,DLR0026,Sub-M459,86130,2,DT00947,5,8,2019,Elva Motors,Facel Vega Motors,Subaru
BR0004,DLR0013,Aud-M226,306775,5,DT01454,24,12,2020,Peugeot Motors,Deccan Motors,Audi
BR0029,DLR0075,Kia-M271,131555,5,DT00039,8,2,2017,Piaggio Motors,Deccan Motors,Kia
BR0047,DLR0078,Nis-M288,64814,2,DT00884,3,6,2019,Deccan Motors,Saab Motors,Nissan
BR0027,DLR0067,Hon-M22,71244,3,DT01108,13,1,2020,Elva Motors,Subaru Motors,Honda
BR0056,DLR0021,Hon-M382,110348,4,DT00849,29,4,2019,Saab Motors,Elva Motors,Honda
BR0059,DLR0006,BMW-M464,341475,5,DT00303,30,10,2017,PGO Motors,Fiat do Brasil Motors,BMW
BR0060,DLR0038,Jee-M257,87958,2,DT01411,11,11,2020,Elva Motors,Elva Motors,Jeep
BR0049,DLR0025,Mer-M445,199182,3,DT01186,31,3,2020,Piaggio Motors,Facel Vega Motors,Mercedes-Benz
BR0015,DLR0080,Mah-M12,51734,2,DT00792,3,3,2019,PGO Motors,Subaru Motors,Mahindra
BR0017,DLR0053,Vol-M430,30651,1,DT01084,20,12,2019,Deccan Motors,Saab Motors,Volkswagen
BR0046,DLR0050,Sub-M79,97014,3,DT00520,4,6,2018,Peugeot Motors,Wiesmann Motors,Subaru
BR0044,DLR0053,Hyu-M387,184440,5,DT00199,18,7,2017,Pontiac Motors,Saab Motors,Hyundai
BR0046,DLR0015,Hyu-M387,147552,4,DT00378,13,1,2018,Peugeot Motors,Facel Vega Motors,Hyundai
BR0044,DLR0009,Hon-M222,25986,1,DT01177,22,3,2020,Pontiac Motors,Elva Motors,Honda
BR0053,DLR0002,BMW-M444,385490,5,DT01017,14,10,2019,Saab Motors,Eicher Polaris Motors,BMW
BR0013,DLR0072,Mah-M72,74958,3,DT01368,29,9,2020,Plymouth Motors,Elva Motors,Mahindra
BR0046,DLR0038,Lex-M478,149156,2,DT00274,1,10,2017,Peugeot Motors,Elva Motors,Lexus
BR0033,DLR0041,Toy-M301,35125,1,DT00011,11,1,2017,Peugeot Motors,Deccan Motors,Toyota
BR0024,DLR0041,Hyu-M267,74397,3,DT01416,16,11,2020,PGO Motors,Deccan Motors,Hyundai
BR0046,DLR0032,Cad-M76,51546,1,DT00401,5,2,2018,Peugeot Motors,AC Cars Motors,Cadillac
